date,uniqueID,max,min,humidity,steps
11/12/2020,Howyoung,84,58,58,928
11/13/2020,Howyoung,84,58,86,623
11/14/2020,Howyoung,84,71,80,2747
11/15/2020,Howyoung,73,60,63,1912
11/16/2020,Howyoung,76,35,57,2929
10/20/2020,TimWong,91,75.2,43,15
10/21/2020,TimWong,91,73.4,45,3149
10/22/2020,TimWong,91,73,78,722
10/23/2020,TimWong,84.9,57,82,1497
10/24/2020,TimWong,66.9,53.1,0,4420
10/25/2020,TimWong,86,55,70,1497
10/26/2020,TimWong,82,45,90,3569
10/27/2020,TimWong,46,39.9,89,927
10/28/2020,TimWong,61,39,90,3189
10/29/2020,TimWong,64,39.9,81,1509
10/30/2020,TimWong,73,45,62,1478
10/31/2020,TimWong,79,41,78,5694
11/1/2020,TimWong,79,50,73,2185
11/2/2020,TimWong,78.1,46.9,0,2893
11/3/2020,TimWong,81,43,64,4465
11/4/2020,TimWong,82,48,68,1402
11/5/2020,TimWong,82.9,57,86,2533
11/6/2020,TimWong,80.1,64,86,1829
11/7/2020,TimWong,72,59,80,2021
11/8/2020,TimWong,73,64,86,2112
11/9/2020,TimWong,85,61,83,2699
11/10/2020,TimWong,82,65,86,1375
11/11/2020,TimWong,81,64,41,1690
11/12/2020,TimWong,84,58,58,811
11/13/2020,TimWong,84,58,86,2591
11/14/2020,TimWong,84,71,80,9650
11/15/2020,TimWong,73,60,63,2776
11/16/2020,TimWong,76,35,57,442
10/20/2020,Malavika,91,75.2,43,450
10/21/2020,Malavika,91,73.4,45,482
10/22/2020,Malavika,91,73,78,513
10/23/2020,Malavika,84.9,57,82,385
10/24/2020,Malavika,66.9,53.1,0,1520
10/25/2020,Malavika,86,55,70,644
10/26/2020,Malavika,82,45,90,432
10/27/2020,Malavika,46,39.9,89,968
10/28/2020,Malavika,61,39,90,1465
10/29/2020,Malavika,64,39.9,81,2002
10/30/2020,Malavika,73,45,62,946
10/31/2020,Malavika,79,41,78,1192
11/1/2020,Malavika,79,50,73,523
11/2/2020,Malavika,78.1,46.9,0,815
11/3/2020,Malavika,81,43,64,359
11/4/2020,Malavika,82,48,68,271
11/5/2020,Malavika,82.9,57,86,1229
11/6/2020,Malavika,80.1,64,86,1031
11/7/2020,Malavika,72,59,80,989
11/8/2020,Malavika,73,64,86,2063
11/9/2020,Malavika,85,61,83,3565
11/10/2020,Malavika,82,65,86,3004
11/11/2020,Malavika,81,64,41,2541
11/12/2020,Malavika,84,58,58,578
11/13/2020,Malavika,84,58,86,946
11/14/2020,Malavika,84,71,80,887
11/15/2020,Malavika,73,60,63,944
11/16/2020,Malavika,76,35,57,3583
10/20/2020,Riley,91,75.2,43,6000
10/21/2020,Riley,91,73.4,45,2000
10/22/2020,Riley,91,73,78,6000
10/23/2020,Riley,84.9,57,82,2000
10/24/2020,Riley,66.9,53.1,0,500
10/25/2020,Riley,86,55,70,500
10/26/2020,Riley,82,45,90,2000
10/27/2020,Riley,46,39.9,89,6000
10/28/2020,Riley,61,39,90,2000
10/29/2020,Riley,64,39.9,81,6000
10/30/2020,Riley,73,45,62,2000
10/31/2020,Riley,79,41,78,500
11/1/2020,Riley,79,50,73,500
11/2/2020,Riley,78.1,46.9,0,2000
11/3/2020,Riley,81,43,64,6000
11/4/2020,Riley,82,48,68,2000
11/5/2020,Riley,82.9,57,86,6000
11/6/2020,Riley,80.1,64,86,2000
11/7/2020,Riley,72,59,80,500
11/8/2020,Riley,73,64,86,500
11/9/2020,Riley,85,61,83,2000
11/10/2020,Riley,82,65,86,6000
11/11/2020,Riley,81,64,41,2000
11/12/2020,Riley,84,58,58,6000
11/13/2020,Riley,84,58,86,2000
11/14/2020,Riley,84,71,80,500
11/15/2020,Riley,73,60,63,500
11/16/2020,Riley,76,35,57,2000
10/20/2020,nutella,91,75.2,43,2484
10/21/2020,nutella,91,73.4,45,2196
10/22/2020,nutella,91,73,78,2263
10/23/2020,nutella,84.9,57,82,1604
10/24/2020,nutella,66.9,53.1,0,57
10/25/2020,nutella,86,55,70,401
10/26/2020,nutella,82,45,90,897
10/27/2020,nutella,46,39.9,89,1279
10/28/2020,nutella,61,39,90,273
10/29/2020,nutella,64,39.9,81,217
10/30/2020,nutella,73,45,62,1569
10/31/2020,nutella,79,41,78,281
11/1/2020,nutella,79,50,73,2204
11/2/2020,nutella,78.1,46.9,0,1911
11/3/2020,nutella,81,43,64,477
11/4/2020,nutella,82,48,68,1427
11/5/2020,nutella,82.9,57,86,2653
11/6/2020,nutella,80.1,64,86,1182
11/7/2020,nutella,72,59,80,1123
11/8/2020,nutella,73,64,86,6275
11/9/2020,nutella,85,61,83,2070
11/10/2020,nutella,82,65,86,3247
11/11/2020,nutella,81,64,41,3524
11/12/2020,nutella,84,58,58,702
11/13/2020,nutella,84,58,86,236
11/14/2020,nutella,84,71,80,445
11/15/2020,nutella,73,60,63,400
11/16/2020,nutella,76,35,57,153
10/20/2020,50298,91,75.2,43,1277
10/21/2020,50298,91,73.4,45,1000
10/22/2020,50298,91,73,78,1300
10/23/2020,50298,84.9,57,82,1498
10/24/2020,50298,66.9,53.1,0,900
10/25/2020,50298,86,55,70,1789
10/26/2020,50298,82,45,90,2340
10/27/2020,50298,46,39.9,89,1815
10/28/2020,50298,61,39,90,590
10/29/2020,50298,64,39.9,81,577
10/30/2020,50298,73,45,62,6876
10/31/2020,50298,79,41,78,4306
11/1/2020,50298,79,50,73,2612
11/2/2020,50298,78.1,46.9,0,268
11/3/2020,50298,81,43,64,8083
11/4/2020,50298,82,48,68,2025
11/5/2020,50298,82.9,57,86,8012
11/6/2020,50298,80.1,64,86,2210
11/7/2020,50298,72,59,80,6975
11/8/2020,50298,73,64,86,6473
11/9/2020,50298,85,61,83,761
11/10/2020,50298,82,65,86,754
11/11/2020,50298,81,64,41,2570
11/12/2020,50298,84,58,58,650
11/13/2020,50298,84,58,86,2442
11/14/2020,50298,84,71,80,1806
11/15/2020,50298,73,60,63,3831
11/16/2020,50298,76,35,57,286
10/20/2020,pawmuh,91,75.2,43,8367
10/21/2020,pawmuh,91,73.4,45,4771
10/22/2020,pawmuh,91,73,78,4227
10/23/2020,pawmuh,84.9,57,82,1541
10/24/2020,pawmuh,66.9,53.1,0,2597
10/25/2020,pawmuh,86,55,70,2640
10/26/2020,pawmuh,82,45,90,4086
10/27/2020,pawmuh,46,39.9,89,2277
10/28/2020,pawmuh,61,39,90,3016
10/29/2020,pawmuh,64,39.9,81,3533
10/30/2020,pawmuh,73,45,62,5053
10/31/2020,pawmuh,79,41,78,4430
11/1/2020,pawmuh,79,50,73,4906
11/2/2020,pawmuh,78.1,46.9,0,1766
11/3/2020,pawmuh,81,43,64,7164
11/4/2020,pawmuh,82,48,68,7961
11/5/2020,pawmuh,82.9,57,86,6505
11/6/2020,pawmuh,80.1,64,86,4336
11/7/2020,pawmuh,72,59,80,4188
11/8/2020,pawmuh,73,64,86,4065
11/9/2020,pawmuh,85,61,83,2859
11/10/2020,pawmuh,82,65,86,8623
11/11/2020,pawmuh,81,64,41,4537
11/12/2020,pawmuh,84,58,58,3574
11/13/2020,pawmuh,84,58,86,3736
11/14/2020,pawmuh,84,71,80,9181
11/15/2020,pawmuh,73,60,63,3845
11/16/2020,pawmuh,76,35,57,1841
10/20/2020,Enbibi,91,75.2,43,5057
10/21/2020,Enbibi,91,73.4,45,7739
10/22/2020,Enbibi,91,73,78,495
10/23/2020,Enbibi,84.9,57,82,3140
10/24/2020,Enbibi,66.9,53.1,0,3880
10/25/2020,Enbibi,86,55,70,289
10/26/2020,Enbibi,82,45,90,2398
10/27/2020,Enbibi,46,39.9,89,423
10/28/2020,Enbibi,61,39,90,774
10/29/2020,Enbibi,64,39.9,81,540
10/30/2020,Enbibi,73,45,62,4429
10/31/2020,Enbibi,79,41,78,744
